Thumb,IndexFinger,MiddleFinger,RingFinger,LittleFinger,accelerometer_x,accelerometer_y,accelerometer_z,temperature,gyro_x,gyro_y,gyro_z,Gesture
442,369,455,406,353,21728,1664,2208,28.01,31484,4971,10839,0
485,461,491,438,407,15512,-1572,9576,28.11,-17512,7375,-32768,0
446,450,492,409,399,13984,15168,10272,28.11,-12953,14221,3557,0
385,445,489,413,413,9200,8696,1392,28.06,-6873,5257,-7237,0
429,374,451,383,441,32360,3016,2720,28.06,-16065,-3250,-1636,0
342,266,340,232,244,13836,1720,11032,28.11,-1882,859,2973,0
358,286,354,245,263,14540,324,10336,28.2,-1114,-765,17,0
359,291,357,250,265,14840,492,9920,28.01,-440,-30,136,0
360,294,360,252,267,14380,-112,10380,28.15,-780,-380,36,0
361,297,362,255,269,14416,-444,10240,28.15,-1353,-951,-106,0
362,292,364,256,272,15000,68,9296,28.01,-784,254,-285,0
363,293,365,257,273,15024,-636,9352,28.11,-802,-284,105,0
364,301,367,259,274,14936,-1040,9236,28.11,-989,-325,212,0
364,300,368,260,275,14972,-572,9428,28.15,-573,-89,-84,0
366,296,368,260,276,14892,-1028,9252,28.15,-786,-313,-17,0
366,297,369,261,277,14964,-952,9252,28.2,-664,-292,-33,0
366,299,369,261,277,14876,-824,9452,28.25,-691,-254,37,0
367,303,370,262,278,14792,-656,9512,28.11,-615,-209,53,0
367,307,371,262,279,14952,-568,9428,28.11,-925,-205,-218,0
367,304,371,263,280,15020,-828,9444,28.11,-824,-593,-288,0
368,310,371,263,281,15096,-264,9192,28.11,-723,-585,239,0
370,308,385,267,378,16480,1504,7136,28.2,-1070,-109,-206,0
373,314,384,303,333,15956,1268,6980,28.2,-2467,-338,-103,0
372,312,383,298,320,15768,900,7380,28.2,-1027,-93,-228,0
375,307,384,298,319,14640,548,10236,28.25,156,-35,178,0
374,311,383,294,307,15296,-236,9088,28.15,-552,192,284,0
375,310,383,295,307,15180,-28,9024,28.25,-734,-184,-76,0
375,305,383,296,308,15288,-156,8836,28.11,-582,-236,57,0
375,303,384,295,308,15232,-572,8724,28.25,-916,-164,-115,0
376,312,384,295,308,15320,-412,8664,28.15,-713,-394,-75,0
375,311,384,296,308,15252,-272,8892,28.15,-737,-284,10,0
376,312,384,296,309,15252,-328,8764,28.25,-653,-151,8,0
376,312,385,297,309,15340,-308,8652,28.2,-646,-111,39,0
376,312,385,296,309,15480,-356,8740,28.2,-697,-239,-14,0
377,308,385,297,309,15408,-244,8752,28.29,-637,-113,-36,0
376,299,385,297,309,15300,-224,8660,28.25,-709,-166,-1,0
377,297,385,297,310,15388,-384,8624,28.29,-685,-242,-9,0
377,307,386,297,310,15296,-356,8760,28.29,-679,-184,6,0
377,296,386,298,310,15368,-384,8716,28.25,-582,-209,-84,0
377,300,386,298,310,15408,-412,8736,28.29,-587,-260,-28,0
377,305,386,298,310,15408,-432,8636,28.25,-676,-215,-37,0
377,304,386,298,310,15384,-400,8628,28.25,-668,-161,-60,0
377,302,386,298,310,15416,-464,8828,28.25,-634,-190,19,0
377,310,386,299,311,15408,-480,8636,28.25,-768,-200,-70,0
377,307,386,299,311,15368,-376,8668,28.2,-650,-251,31,0
377,307,387,299,311,15408,-340,8680,28.29,-679,-258,-14,0
377,302,387,299,311,15440,728,8588,28.34,-631,-262,-495,0
377,303,387,299,311,15336,-632,8664,28.29,-682,-165,-27,0
378,304,387,299,312,15344,-588,8560,28.34,-645,-258,134,0
378,311,388,300,311,15480,-764,8500,28.25,-501,39,-30,0
378,314,388,300,312,15536,-644,8344,28.29,-685,-298,-8,0
378,313,388,300,312,15600,-696,8548,28.29,-737,-326,-25,0
378,295,388,300,312,15440,-656,8588,28.39,-701,-128,-8,0
378,302,388,300,312,15368,-600,8596,28.34,-711,-204,21,0
378,295,388,301,312,15372,-684,8288,28.34,-713,-254,-2,0
378,315,388,301,312,15460,-696,8228,28.39,-752,-176,-1,0
378,312,388,301,312,15376,-572,8524,28.44,-659,-159,-10,0
379,317,388,301,312,15432,-644,8492,28.39,-681,-208,-28,0
379,319,388,301,312,15468,-704,8560,28.29,-718,-247,-25,0
379,319,388,301,313,15492,-440,8472,28.34,-813,-313,9,0
379,312,389,301,313,15472,-772,8232,28.34,-707,-411,-295,0
379,308,389,301,313,15448,-588,8484,28.39,-719,-282,-18,0
379,311,389,301,313,15432,-644,8704,28.48,-699,-186,-41,0
379,312,389,301,313,15444,-560,8568,28.44,-694,-276,-14,0
379,310,389,302,313,15412,-728,8536,28.34,-566,-196,-40,0
379,310,389,302,313,15452,-632,8480,28.29,-738,-227,-25,0
379,309,389,302,313,15560,-580,8492,28.39,-640,-219,-19,0
379,309,389,302,313,15564,-800,8496,28.39,-663,-215,49,0
379,309,389,302,313,15380,-732,8536,28.34,-601,-241,-55,0
379,312,389,302,313,15424,-680,8468,28.39,-767,-184,13,0
379,309,389,302,313,15692,-432,8212,28.44,-718,-218,-43,0
379,312,389,302,313,15648,-732,8236,28.39,-665,-218,-51,0
379,313,389,303,313,15540,-752,8408,28.39,-592,-119,27,0
379,312,390,303,313,15460,-728,8468,28.48,-753,-239,-35,0
379,312,389,303,313,15540,-644,8544,28.48,-676,-236,16,0
379,322,390,303,314,15448,-816,8536,28.48,-744,-335,173,0
380,321,390,303,314,15520,-504,8408,28.44,-617,-83,-161,0
380,313,390,303,313,15392,-872,8560,28.48,-828,-1014,204,0
379,319,390,303,314,15152,-624,8884,28.48,-605,-94,160,0
379,317,390,303,314,15088,-1400,8732,28.44,-575,-323,-155,0
379,316,390,303,314,15504,20,8500,28.53,-689,-133,-522,0
345,278,352,260,318,13728,9724,2780,26.69,795,687,-231,0
354,280,352,260,320,14084,10192,3028,26.79,-2158,-547,712,0
355,281,353,261,322,13296,10344,3560,26.65,-1463,-716,135,0
355,281,354,261,322,13976,9576,3036,26.79,274,35,827,0
354,269,354,261,320,14020,9628,2956,26.69,-692,-165,-248,0
355,280,355,261,321,13856,9824,3236,26.69,-527,-376,201,0
356,281,355,262,322,13856,9688,3328,26.74,-584,-207,101,0
356,282,356,262,322,13708,9900,3232,26.79,-563,-133,55,0
356,287,356,263,322,13732,9840,3588,26.74,-1347,-334,-420,0
357,288,357,262,323,13280,9788,2552,26.74,-241,8,224,0
357,288,358,262,323,13332,10124,3228,26.88,-212,-551,166,0
357,288,358,263,324,13268,10616,2792,26.79,-782,-550,-40,0
357,289,358,263,324,12780,10764,3376,26.84,-762,-312,-339,0
357,289,359,263,324,13044,10444,3156,26.84,-604,-350,155,0
357,290,359,264,325,12912,10968,3364,26.84,-834,-239,-361,0
357,291,359,264,325,13196,10644,2848,26.84,-638,-194,47,0
357,293,359,264,325,13496,10768,2244,26.79,-876,107,-125,0
357,294,360,264,326,13072,10552,2628,26.88,-652,-264,-10,0
357,294,360,264,326,12660,10896,3168,26.79,-621,1,-120,0
358,295,360,264,326,12684,11076,3020,26.79,-628,-205,89,0
357,295,361,264,326,13012,10856,2836,26.84,-717,-195,-48,0
357,295,361,264,326,12676,10936,3072,26.88,-600,-442,46,0
358,295,361,265,327,12752,10960,2932,26.84,-855,-291,-90,0
356,296,362,265,327,12728,10892,3036,26.84,-519,-230,-66,0
359,297,362,265,327,13028,10884,2832,26.88,-1152,-811,272,0
345,296,362,265,327,12656,12036,1964,26.84,689,-1360,2050,0
350,295,362,264,329,13764,10212,852,26.88,-902,-668,292,0
343,296,362,264,325,13252,10340,528,26.98,-1991,-923,-1117,0
360,297,362,264,330,12584,12144,988,26.88,568,1025,485,0
360,298,363,263,329,12396,11360,-804,26.88,-559,-348,-486,0
360,297,363,263,330,13432,10700,-744,26.69,380,1233,1364,0
359,296,363,263,332,12944,9984,-2196,26.84,150,-299,687,0
360,298,363,263,332,13380,10212,-1780,26.93,-797,-364,38,0
360,298,364,263,332,13292,10320,-1820,26.88,-591,52,-390,0
360,299,364,264,333,13400,10612,-1612,26.88,-736,-199,29,0
360,299,364,264,333,13156,10504,-1564,26.98,-597,-103,-24,0
360,299,364,264,333,13300,10276,-1424,26.98,-731,-659,-874,0
360,299,363,264,333,13260,10420,-1400,26.88,-645,-213,90,0
360,300,364,264,333,13344,10440,-1348,26.88,-678,193,159,0
360,300,364,264,333,13224,10832,-1544,26.93,-644,-163,198,0
360,300,364,264,333,13128,10520,-1632,26.88,-830,-90,3,0
360,301,365,264,333,12960,10572,-1152,26.88,-701,-314,-49,0
360,301,364,264,333,13516,10896,-1444,26.93,-747,-582,-523,0
360,301,364,264,333,13108,10128,-1152,26.84,-872,-442,58,0
360,301,348,265,333,13148,10532,-1328,26.93,-659,-200,231,0
360,301,362,264,335,13264,10444,-1500,26.98,-612,-244,155,0
360,301,360,265,334,13212,10488,-1528,26.88,-637,-111,-180,0
360,301,357,265,334,13256,10188,-1524,26.84,-591,-209,191,0
360,302,349,265,334,13368,10228,-1664,26.88,-606,-267,59,0
359,302,347,265,334,13120,10384,-1460,26.88,-278,443,-404,0
359,302,360,266,334,13336,10668,-1316,26.88,-659,-251,28,0
359,302,363,265,335,13156,10380,-1460,26.98,-712,-169,-60,0
359,302,364,266,335,13152,10552,-1140,26.93,-805,-349,289,0
